M,Lambda,x,Delta,eta_C,T_b,T_c
1e-08,1.0005432025924113,1.1550141206345065e-08,1.0879841544669473e-07,0.999999976899718,3978873.57729738,0.09191310172754627
1e-08,1.0005432027011505,1.1550141206972699e-08,1.0879841544078263e-07,0.999999976899718,3978873.57729738,0.09191310173254087
1e-08,1.0005432028098897,1.1550141207600334e-08,1.0879841543487048e-07,0.999999976899718,3978873.577297381,0.09191310173753543
1e-08,1.000543202918629,1.1550141208227972e-08,1.0879841542895838e-07,0.999999976899718,3978873.57729738,0.09191310174252998
1e-08,1.0005432030273682,1.155014120885561e-08,1.0879841542304627e-07,0.999999976899718,3978873.57729738,0.09191310174752455
1e-08,1.0005432031361075,1.1550141209483241e-08,1.0879841541713412e-07,0.999999976899718,3978873.577297381,0.09191310175251911
1e-08,1.0005432032448467,1.155014121011088e-08,1.0879841541122203e-07,0.999999976899718,3978873.57729738,0.09191310175751369
1e-08,1.000543203353586,1.1550141210738511e-08,1.0879841540530991e-07,0.999999976899718,3978873.577297381,0.09191310176250829
1e-08,1.0005432034623252,1.1550141211366153e-08,1.087984153993978e-07,0.999999976899718,3978873.57729738,0.09191310176750281
1e-08,1.0005432035710644,1.1550141211993788e-08,1.0879841539348566e-07,0.999999976899718,3978873.57729738,0.09191310177249737
1e-08,1.0005432036798036,1.155014121262142e-08,1.0879841538757359e-07,0.999999976899718,3978873.57729738,0.09191310177749198
1e-08,1.000543203788543,1.1550141213249057e-08,1.0879841538166147e-07,0.999999976899718,3978873.57729738,0.09191310178248654
1e-08,1.0005432038972821,1.155014121387669e-08,1.0879841537574928e-07,0.999999976899718,3978873.5772973816,0.09191310178748112
1e-08,1.0005432040060214,1.1550141214504325e-08,1.0879841536983718e-07,0.999999976899718,3978873.5772973816,0.09191310179247568
1e-08,1.0005432041147606,1.1550141215131964e-08,1.0879841536392509e-07,0.999999976899718,3978873.577297381,0.09191310179747025
1e-08,1.0005432042234998,1.1550141215759602e-08,1.0879841535801293e-07,0.999999976899718,3978873.577297381,0.09191310180246476
1e-08,1.000543204332239,1.1550141216387235e-08,1.0879841535210085e-07,0.999999976899718,3978873.577297381,0.09191310180745937
1e-08,1.0005432044409783,1.155014121701487e-08,1.0879841534618875e-07,0.999999976899718,3978873.577297381,0.09191310181245396
1e-08,1.0005432045497176,1.1550141217642506e-08,1.0879841534027658e-07,0.999999976899718,3978873.5772973816,0.0919131018174485
1e-08,1.0005432046584568,1.155014121827014e-08,1.0879841533436448e-07,0.999999976899718,3978873.5772973816,0.09191310182244311
1e-08,1.000543204767196,1.1550141218897774e-08,1.0879841532845238e-07,0.999999976899718,3978873.5772973816,0.0919131018274377
1e-08,1.0005432048759353,1.1550141219525416e-08,1.0879841532254025e-07,0.999999976899718,3978873.577297381,0.0919131018324322
1e-08,1.0005432049846745,1.1550141220153049e-08,1.0879841531662816e-07,0.999999976899718,3978873.577297381,0.0919131018374268
1e-08,1.0005432050934138,1.1550141220780686e-08,1.0879841531071603e-07,0.999999976899718,3978873.577297381,0.09191310184242135
1e-08,1.000543205202153,1.1550141221408324e-08,1.0879841530480386e-07,0.999999976899718,3978873.5772973816,0.09191310184741588
1e-08,1.0005432053108922,1.1550141222035957e-08,1.0879841529889175e-07,0.999999976899718,3978873.5772973816,0.09191310185241046
1e-08,1.0005432054196315,1.1550141222663594e-08,1.0879841529297967e-07,0.999999976899718,3978873.577297381,0.09191310185740505
1e-08,1.0005432055283707,1.1550141223291228e-08,1.0879841528706757e-07,0.999999976899718,3978873.577297381,0.09191310186239962
1e-08,1.00054320563711,1.155014122391887e-08,1.0879841528115545e-07,0.999999976899718,3978873.57729738,0.09191310186739417
