x,Delta,eta_C,M,T_ratio
9.848073765079169428e-01,3.141347234157473522e+00,1.015432427555465131e-02,3.333040387848806851e-01,9.898456757244453730e-01
9.851232105384845061e-01,3.141357406652366180e+00,9.942696959008798588e-03,3.333052530176626171e-01,9.900573030409911546e-01
9.854325135639236954e-01,3.141367157091808693e+00,9.735467935091328406e-03,3.333064168728579468e-01,9.902645320649087202e-01
9.857354194756029475e-01,3.141376503020220756e+00,9.532546111492318230e-03,3.333075324445497478e-01,9.904674538885075430e-01
9.860320594511265968e-01,3.141385461250000510e+00,9.333842280904811745e-03,3.333086017394530365e-01,9.906661577190952750e-01
9.863225620090861900e-01,3.141394047892299479e+00,9.139269081372618925e-03,3.333096266805868901e-01,9.908607309186272527e-01
9.866070530626525059e-01,3.141402278386466573e+00,8.948740957543081451e-03,3.333106091107886915e-01,9.910512590424568335e-01
9.868856559720409205e-01,3.141410167528251307e+00,8.762174122797653300e-03,3.333115507960802137e-01,9.912378258772024386e-01
9.871584915958795392e-01,3.141417729496797762e+00,8.579486522234808232e-03,3.333124534288884333e-01,9.914205134777651640e-01
9.874256783415056304e-01,3.141424977880499902e+00,8.400597796483576241e-03,3.333133186311315610e-01,9.915994022035165001e-01
9.876873322142205591e-01,3.141431925701761774e+00,8.225429246322227619e-03,3.333141479571741228e-01,9.917745707536778088e-01
9.879435668655275338e-01,3.141438585440699427e+00,8.053903798081690421e-03,3.333149428966553085e-01,9.919460962019184258e-01
9.881944936403759261e-01,3.141444969057849423e+00,7.885945969812535941e-03,3.333157048771995257e-01,9.921140540301874866e-01
9.884402216234406957e-01,3.141451088015905224e+00,7.721481838193230626e-03,3.333164352670102692e-01,9.922785181618066774e-01
9.886808576844526852e-01,3.141456953300550747e+00,7.560439006164180673e-03,3.333171353773568546e-01,9.924395609938357898e-01
9.889165065226106499e-01,3.141462575440396421e+00,7.402746571263354308e-03,3.333178064649531813e-01,9.925972534287367255e-01
9.891472707100884554e-01,3.141467964526087897e+00,7.248335094650865985e-03,3.333184497342390196e-01,9.927516649053490516e-01
9.893732507346656435e-01,3.141473130228604305e+00,7.097136570799950257e-03,3.333190663395635966e-01,9.929028634292000888e-01
9.895945450414955769e-01,3.141478081816780676e+00,6.949084397841525686e-03,3.333196573872767576e-01,9.930509156021585238e-01
9.898112500740334774e-01,3.141482828174100739e+00,6.804113348543866166e-03,3.333202239377332510e-01,9.931958866514560835e-01
9.900234603141433443e-01,3.141487377814779602e+00,6.662159541912216452e-03,3.333207670072123041e-01,9.933378404580878174e-01
9.902312683214001821e-01,3.141491738899168329e+00,6.523160415393331781e-03,3.333212875697567079e-01,9.934768395846066413e-01
9.904347647716065239e-01,3.141495919248515456e+00,6.387054697670700373e-03,3.333217865589333528e-01,9.936129453023293534e-01
9.906340384945413469e-01,3.141499926359104133e+00,6.253782382034289884e-03,3.333222648695218782e-01,9.937462176179656659e-01
9.908291765109548122e-01,3.141503767415797288e+00,6.123284700314208205e-03,3.333227233591304906e-01,9.938767152996857979e-01
9.910202640688271503e-01,3.141507449305021460e+00,5.995504097363097210e-03,3.333231628497460020e-01,9.940044959026369531e-01
9.912073846789076770e-01,3.141510978627190642e+00,5.870384206074013081e-03,3.333235841292166435e-01,9.941296157939261136e-01
9.913906201495479298e-01,3.141514361708626524e+00,5.747869822922577372e-03,3.333239879526747607e-01,9.942521301770773645e-01
9.915700506208448006e-01,3.141517604612969361e+00,5.627906884020354543e-03,3.333243750438987796e-01,9.943720931159796272e-01
9.917457545981047673e-01,3.141520713152114119e+00,5.510442441669643511e-03,3.333247460966183850e-01,9.944895575583303504e-01
9.919178089846497626e-01,3.141523692896687869e+00,5.395424641404474898e-03,3.333251017757651868e-01,9.946045753585954774e-01
9.920862891139718975e-01,3.141526549186092865e+00,5.282802699510777064e-03,3.333254427186715385e-01,9.947171973004892420e-01
9.922512687812512500e-01,3.141529287138121962e+00,5.172526881014178485e-03,3.333257695362181749e-01,9.948274731189856723e-01
9.924128202742551474e-01,3.141531911658178799e+00,5.064548478121834105e-03,3.333260828139342213e-01,9.949354515218782335e-01
9.925710144036237192e-01,3.141534427448112066e+00,4.958819789112698523e-03,3.333263831130523491e-01,9.950411802108874992e-01
9.927259205325595914e-01,3.141536839014681171e+00,4.855294097663507939e-03,3.333266709715189680e-01,9.951447059023363906e-01
9.928776066059302741e-01,3.141539150677658654e+00,4.753925652602527564e-03,3.333269469049609524e-01,9.952460743473974247e-01
9.930261391787996716e-01,3.141541366577613292e+00,4.654669648078639532e-03,3.333272114076152870e-01,9.953453303519214090e-01
9.931715834443929358e-01,3.141543490683354811e+00,4.557482204142169167e-03,3.333274649532171341e-01,9.954425177958577953e-01
9.933140032615123127e-01,3.141545526799061960e+00,4.462320347723406147e-03,3.333277079958508193e-01,9.955376796522765748e-01
9.934534611814122007e-01,3.141547478571135255e+00,4.369141994002562548e-03,3.333279409707677332e-01,9.956308580059974878e-01
9.935900184741423002e-01,3.141549349494747290e+00,4.277905928163785662e-03,3.333281642951682056e-01,9.957220940718362057e-01
9.937237351543753983e-01,3.141551142920122608e+00,4.188571787521186592e-03,3.333283783689514057e-01,9.958114282124788108e-01
9.938546700067210082e-01,3.141552862058555551e+00,4.101100044014514140e-03,3.333285835754328796e-01,9.958988999559854616e-01
9.939828806105421855e-01,3.141554509988185195e+00,4.015451987062058567e-03,3.333287802820343315e-01,9.959845480129378981e-01
9.941084233642825119e-01,3.141556089659521156e+00,3.931589706765224561e-03,3.333289688409434848e-01,9.960684102932347850e-01
